DATE,GINIALLRH
1/1/67,0.397
1/1/68,0.386
1/1/69,0.391
1/1/70,0.394
1/1/71,0.396
1/1/72,0.401
1/1/73,0.4
1/1/74,0.395
1/1/75,0.397
1/1/76,0.398
1/1/77,0.402
1/1/78,0.402
1/1/79,0.404
1/1/80,0.403
1/1/81,0.406
1/1/82,0.412
1/1/83,0.414
1/1/84,0.415
1/1/85,0.419
1/1/86,0.425
1/1/87,0.426
1/1/88,0.426
1/1/89,0.431
1/1/90,0.428
1/1/91,0.428
1/1/92,0.433
1/1/93,0.454
1/1/94,0.456
1/1/95,0.45
1/1/96,0.455
1/1/97,0.459
1/1/98,0.456
1/1/99,0.458
1/1/00,0.462
1/1/01,0.466
1/1/02,0.462
1/1/03,0.464
1/1/04,0.466
1/1/05,0.469
1/1/06,0.47
1/1/07,0.463
1/1/08,0.466
1/1/09,0.468
1/1/10,0.47
1/1/11,0.477
1/1/12,0.477
1/1/13,0.482
1/1/14,0.48
1/1/15,0.479
1/1/16,0.481